time,flux
131.5122963502945,58307.671875
131.5327306573963,58325.8046875
131.55316486450465,58315.52734375
131.57359897148854,58310.87890625
131.59403317848046,58308.890625
131.61446748535673,58311.9375
131.63490159211506,58309.48046875
131.65533579886687,58332.703125
131.6757701055103,58321.56640625
131.6962043121457,58331.63671875
131.71663841878762,58321.3984375
131.73707262531389,58311.76171875
131.75750693171722,58332.015625
131.7779410381263,58335.67578125
131.79837524441973,58337.75390625
131.81880955070665,58315.140625
131.8392436568829,58320.71875
131.8596778629435,58331.75390625
131.88011206899682,58333.51171875
131.90054627505742,58307.6015625
131.9209804810016,58315.7265625
131.9414146868221,58337.79296875
131.96184889264987,58322.109375
131.98228309847764,58310.98828125
132.0027173040653,58296.9609375
132.02315140965948,58328.4296875
132.04358571525518,58340.0390625
132.06401992072642,58326.0625
132.08445402620418,58317.28125
132.1048882315663,58334.13671875
132.12532253692189,58323.125
132.14575664216682,58313.62890625
132.1661908472961,58313.10546875
132.18662515241886,58319.90234375
132.20705935743172,58323.5078125
132.22749346244382,58316.4609375
132.24792766734026,58317.046875
132.2683619722302,58326.41015625
132.28879607700947,58325.18359375
132.30923028178222,58319.453125
132.3296645864466,58337.11328125
132.35009869099304,58317.44921875
132.37053289554024,58319.09765625
132.39096710008016,58314.359375
132.41140130439453,58320.56640625
132.43183550881804,58332.81640625
132.452269713016,58318.65625
132.47270401733113,58316.08984375
132.4931381214119,58320.015625
132.51357232548617,58330.01953125
132.53400642945053,58330.625
132.55444073340914,58331.19140625
132.57487493737426,58319.77734375
132.5953090412222,58325.390625
132.61574334495526,58310.64453125
132.63617754856386,58339.1171875
132.65661175229616,58320.53125
132.67704585579486,58323.2421875
132.6974801592878,58318.03515625
132.71791436278727,58320.44921875
132.73834846605314,58347.6796875
132.75878276942967,58329.046875
132.7792169725799,58326.6796875
132.79965107584576,58318.52734375
132.82008527887228,58309.8046875
132.84051958190685,58324.02734375
132.8609536849399,58318.921875
132.88138788785,58320.45703125
132.90182219065173,58338.28515625
132.92225629345194,58334.19140625
132.94269049612922,58325.87109375
132.96312469869736,58327.07421875
132.98355900126626,58324.890625
133.00399310382636,58311.14453125
133.02442730627808,58324.80859375
133.0448615086134,58334.3046875
133.06529571094143,58323.1015625
133.08572991316032,58315.55078125
133.10616411537922,58322.59765625
133.12659831747442,58323.31640625
133.14703251946048,58323.36328125
133.16746672144654,58329.203125
133.18790092330892,58330.3125
133.20833522517933,58305.08984375
133.2287693269318,58321.7421875
133.24920352867775,58319.59765625
133.26963773031457,58315.0390625
133.29007193183497,58321.171875
133.3105061333481,58332.875
133.33094023475132,58316.84375
133.35137453615607,58322.078125
133.37180873743637,58343.7109375
133.39224293860752,58304.17578125
133.41267713977868,58323.953125
133.43311134094256,58330.80859375
133.4535455419973,58333.74609375
133.47397964293486,58303.046875
133.49441394375026,58335.69921875
133.51484814457217,58319.1171875
133.53528224539332,58314.1171875
133.5557165460923,58324.4921875
133.57615074668138,58328.37890625
133.59658484715328,58363.2578125
133.61701904773508,58319.1640625
133.6374533480921,58320.8671875
133.65788754844107,58309.96484375
133.67832164868014,58331.83203125
133.69875594892073,58319.98046875
133.71919014904415,58301.078125
133.73962424915953,58339.21875
133.76005844905012,58333.23828125
133.7804927490506,58324.4140625
133.80092684894043,58344.734375
133.8213610487146,58310.296875
133.84179524837236,58307.50390625
133.86222944802284,58345.546875
133.8826636476806,58326.85546875
133.90309784710553,58327.83203125
133.9235320466396,58309.33203125
133.9439662459481,58318.3671875
133.96440044525662,58324.8046875
133.9848345445571,58317.00390625
134.00526884363353,58312.625
134.0257030427092,58330.203125
134.04613714177685,58312.96484375
134.06657144073688,58320.4296875
134.08700563957973,58334.234375
134.10743973841454,58311.1953125
134.12787393714098,58318.578125
134.14830823586817,58313.27734375
134.16874243447091,58319.63671875
134.18917653296376,58319.98046875
134.20961083145812,58332.9453125
134.23004502982803,58321.2265625
134.25047912820446,58313.8515625
134.27091332646523,58315.21484375
134.29134762460308,58313.50390625
134.31178172274667,58325.0390625
134.33221592077462,58329.03125
134.35265021867963,58317.48046875
134.3730843165904,58316.49609375
134.41395271217334,58344.7734375
134.43438690985204,58315.9296875
134.45482110753073,58315.3828125
134.47525530508574,58323.453125
134.49568960253237,58318.94140625
134.51612369997747,58327.6484375
134.53655789729964,58321.765625
134.55699199451192,58312.6328125
134.57742629172571,58326.04296875
134.59786048881506,58311.61328125
134.6182945857945,58318.796875
134.6387287827747,58336.5625
134.6591630797484,58314.59375
134.67959727649577,58318.1015625
134.70003147335956,58311.92578125
134.72046566998324,58323.78125
134.7408998666142,58327.09765625
134.76133396312798,58315.38671875
134.78176815963525,58320.5703125
134.80220245603414,58333.1171875
134.82263665231585,58319.65625
134.8430707485968,58329.18359375
134.86350504475558,58316.328125
134.88393924080447,58309.53125
134.90437343684607,58320.953125
134.9248075328942,58323.80078125
134.945241828711,58316.859375
134.96567602451978,58332.19140625
134.98611012033507,58325.6484375
135.00654441591905,58334.49609375
135.0269786116114,58307.67578125
135.04741270707746,58326.36328125
135.06784690254426,58314.98828125
135.08828119788814,58324.3984375
135.10871529323776,58321.5078125
135.12914948847174,58333.1953125
135.14958378358278,58326.1015625
135.17001797870034,58316.0
135.19045207370073,58330.6328125
135.21088626857818,58309.3203125
135.23132056346367,58327.55859375
135.25175465823122,58312.578125
135.27218885299226,58325.36328125
135.2926229476434,58344.40234375
135.31305724217964,58341.15625
135.33349143670785,58308.33984375
135.35392553112615,58323.6875
135.37435982542956,58296.26953125
135.39479401972494,58309.76171875
135.41522821391118,58104.71875
135.43566230809665,57564.484375
135.45609660204354,57446.69140625
135.47653079611337,57387.47265625
135.4969648899496,57372.05078125
135.51739918378007,57352.25390625
135.53783337750065,57381.24609375
135.55826747122046,57445.9375
135.57870166482462,57612.96484375
135.59913595830585,58198.38671875
135.61957005179283,58333.765625
135.6400042451569,58317.4609375
135.66043853852898,58323.6171875
135.68087273166748,58303.234375
135.70130682492163,58329.23828125
135.72174101793644,58312.55859375
135.74217531095928,58308.94140625
135.7626094038569,58320.09765625
135.78304359676258,58317.25390625
135.80347788943618,58312.015625
135.82391198222467,58312.3046875
135.84434617477382,58326.28515625
135.86478036733024,58329.3125
135.8852145598794,58325.24609375
135.90564875220298,58339.04296875
135.92608294452657,58331.84765625
135.9465170368494,58315.19140625
135.96695132893365,58319.171875
135.9873855210244,58328.390625
136.0078196131144,58321.66796875
136.02825390508224,58337.296875
136.04868809694017,58327.68359375
136.06912218868092,58323.72265625
136.08955638041516,58326.92578125
136.10999067204102,58320.640625
136.13042486354243,58329.546875
136.15085895505035,58314.9453125
136.17129324644338,58318.578125
136.19172743783565,58314.05078125
136.21216152910347,58338.41796875
136.2325957202629,58304.66796875
136.25303001141583,58327.30078125
136.27346410234168,58328.48828125
136.29389829326828,58314.0703125
136.31433258419565,58331.8671875
136.3347666749978,58323.2734375
136.3552008656916,58320.375
136.37563505638536,58342.7578125
136.39606924695545,58318.8515625
136.4165034374164,58308.6484375
136.43693762776093,58320.56640625
136.45737191809894,58339.74609375
136.4778060083263,58318.328125
136.4982401985544,58332.23046875
136.51867438865884,58321.0625
136.53910857865412,58317.640625
136.5595427686494,58310.41796875
136.579976958521,58305.3828125
136.60041114828346,58324.4296875
136.6208453379295,58331.2578125
136.64127952756826,58313.80859375
136.66171371709788,58322.1953125
136.6821479066275,58304.25
136.70258209603344,58321.76171875
136.72301628533023,58323.9609375
136.74345037450985,58305.75
136.7638846636837,58323.296875
136.7843188528641,58318.33203125
136.80475294181088,58328.61328125
136.8251872307519,58335.76171875
136.84562141958304,58310.1640625
136.8660556084069,58322.27734375
136.88648969700444,58314.515625
136.9069239856035,58323.89453125
136.9273581742018,58329.54296875
136.94779226255923,58310.48046875
136.96822655104188,58313.79296875
136.98866073928366,58331.46484375
137.00909482753195,58326.34375
137.0295290156646,58341.3828125
137.04996330368158,58314.6015625
137.07039739168977,58320.11328125
137.09083157958958,58324.50390625
137.11126586736646,58312.1484375
137.1316999551491,58312.16796875
137.15213414281607,58322.9140625
137.17256833036663,58326.109375
137.19300261791068,58335.31640625
137.21343670522765,58339.4921875
137.2338708926618,58336.390625
137.25430497985508,58328.87109375
137.27473926705716,58330.2578125
137.29517345414206,58326.62890625
137.31560754121892,58306.59765625
137.33604182807176,58318.3125
137.35647601492383,58318.28125
137.3973442883871,58325.28515625
137.41777857512352,58309.1953125
137.43821276161907,58332.921875
137.45864684800472,58317.6953125
137.4790811343919,58328.875
137.49951532077102,58341.671875
137.51994940692384,58330.6796875
137.54038359307742,58316.84375
137.56081787910807,58320.34765625
137.58125196514447,58306.71875
137.6016861509488,58324.71484375
137.62212043686304,58318.31640625
137.64255462255096,58328.34375
137.66298870823812,58321.66015625
137.68342289368593,58319.1328125
137.7038571792582,58321.52734375
137.7242912645961,58305.125
137.7447254499275,58326.37890625
137.76515973515052,58323.6328125
137.78559382037201,58333.7421875
137.80602800547058,58310.203125
137.82646209045924,58321.1484375
137.84689637533302,58315.3671875
137.86733056019875,58314.96484375
137.88776474495535,58318.125
137.90819882959477,58333.4140625
137.92863311422843,58327.09765625
137.94906729863578,58317.61328125
137.96950138315879,58328.3671875
137.9899356674432,58317.8671875
138.01036985173414,58317.79296875
138.0308039359079,58319.76171875
138.051238119966,58315.16796875
138.0716724040176,58310.99609375
138.09210658795928,58331.73046875
138.11254067177651,58340.796875
138.13297495548613,58308.9140625
138.153409139195,58319.2421875
138.1738432227794,58320.171875
138.19427740625542,58314.0390625
138.2147116897322,58324.9765625
138.23514587308455,58321.96484375
138.25557995632698,58313.3125
138.27601423957094,58328.91796875
138.29644842269045,58318.35546875
138.31688250570005,58311.40234375
138.337316688594,58314.5859375
138.35775097148144,58308.0546875
138.37818515425897,58329.921875
138.39861923691933,58330.1875
138.41905351945752,58327.7578125
138.43948770200222,58328.4453125
138.45992178442975,58338.828125
138.48035596673435,58315.30859375
138.500790249047,58334.796875
138.52122433124168,58343.3046875
138.54165851331345,58321.5703125
138.56209269527608,58325.6171875
138.5825268772387,58316.4375
138.60296105907764,58323.18359375
138.62339524092386,58318.8828125
138.64382942253724,58322.203125
138.66426360414334,58318.140625
138.6846977856403,58325.55078125
138.7051318670201,58313.125
138.72556614839414,58334.6953125
138.74600032965827,58314.48046875
138.76643441080523,58336.48828125
138.78686869194644,58318.64453125
138.80730287297774,58332.7578125
138.82773695389187,58325.546875
138.84817113468307,58322.55859375
138.8686054153659,58316.85546875
138.88903959604795,58342.1796875
138.90947367661283,58328.48828125
138.92990795717196,58328.63671875
138.95034213750478,58342.5703125
138.97077621782955,58328.83984375
138.99121039804595,58315.77734375
139.0116446782631,58327.07421875
139.03207875836233,58309.17578125
139.05251293833862,58323.94140625
139.07294721820654,58327.6640625
139.09338129794924,58330.18359375
139.11381547769997,58329.40625
139.1342496573343,58342.546875
139.1546838368522,58337.86328125
139.17511801636283,58335.328125
139.19555219576432,58326.44140625
139.21598627504864,58337.828125
139.23642055421078,58327.6796875
139.25685473337944,58346.375
139.27728881243092,58337.15625
139.29772309136024,58316.67578125
139.31815727017965,58330.3046875
139.3385914489918,58330.3359375
139.35902552769403,58321.9921875
139.37945980628137,58320.26171875
139.39989398475154,58328.0625
139.42032806321367,58334.23828125
139.4407623415682,58321.12109375
139.46119651979825,58324.41015625
139.48163059803483,58322.4375
139.50206477603933,58334.32421875
139.5224990540446,58328.35546875
139.54293313204107,58319.75
139.56336730981275,58335.671875
139.5838015875779,58311.56640625
139.6042356652324,58336.2421875
139.62466984277125,58308.57421875
139.64510402019368,58324.01953125
139.6655382976096,58337.51171875
139.68597237491485,58330.28515625
139.70640655210445,58327.046875
139.72684072928678,58319.8125
139.74727490624355,58324.69921875
139.76770908320032,58338.1328125
139.7881432601498,58328.953125
139.80857743687375,58322.19921875
139.8290116135977,58325.5859375
139.84944579019793,58186.87890625
139.86987996668904,57634.9765625
139.89031414306373,57457.20703125
139.91074831943115,57394.83984375
139.93118249568943,57378.12109375
139.95161677182477,57370.87109375
139.97205084784946,57384.2890625
139.9924850238749,57447.0
140.01291909978318,57563.52734375
140.03335337556928,58106.27734375
140.05378755124548,58329.58203125
140.0742217269144,58339.15625
140.0946559024742,58321.51953125
140.11509007791756,58356.79296875
140.1355242532445,58327.75
140.15595832856343,58313.8359375
140.17639260365831,58328.65625
140.19682677874516,58314.0234375
140.21726085383852,58313.18359375
140.23769512870058,58330.5625
140.25812930356187,58319.1328125
140.2785633782987,58321.484375
140.29899755292718,58314.17578125
140.31943182754912,58325.51171875
140.339865901944,58327.43359375
140.38073425061884,58330.0546875
140.40116852489155,58318.9765625
140.42160259893717,58329.9921875
140.44203677298356,58324.3046875
140.462471046907,58311.0546875
140.4829051207198,58318.86328125
140.50333929453336,58303.80078125
140.52377336810605,58327.87890625
140.54420764168754,58324.9765625
140.56464181526826,58321.09375
140.58507598860888,58326.80078125
140.60551016195677,58317.61328125
140.62594433507184,58328.0625
140.64637850829604,58338.07421875
140.66681258129393,58316.984375
140.68724685417692,58320.66015625
140.70768102705188,58319.2265625
140.72811509981693,58301.72265625
140.7485493724671,58359.54296875
140.76898354510922,58316.80078125
140.78941761752503,58335.97265625
140.8098517899416,58332.54296875
140.83028606223525,58337.40234375
140.850720234419,58320.51171875
140.87115430660197,58336.8828125
140.89158847866202,58326.05859375
140.9120227506137,58314.953125
140.93245682244742,58329.80859375
140.95289099415822,58340.82421875
140.97332526587707,58323.2890625
140.99375933747797,58323.75
141.01419350895594,58329.953125
141.03462768032477,58328.0703125
141.0550618515772,58318.234375
141.07549602282234,58325.20703125
141.09593019395834,58328.69140625
141.11636436497793,58321.4609375
141.13679853587382,58329.33203125
141.157232706777,58337.0234375
141.177666777563,58326.04296875
141.19810104822682,58331.14453125
141.21853521878074,58339.46484375
141.2389692892175,58313.88671875
141.2594035596485,58340.77734375
141.27983772985317,58328.671875
141.3002718000571,58315.02734375
141.32070597013808,58311.0234375
141.3411402402271,58317.21875
141.36157441019895,58321.3046875
141.38200847992994,58320.22265625
141.40244264966896,58329.296875
141.42287691940874,58317.29296875
141.44331108890765,58307.16796875
141.46374515841308,58316.3828125
141.4841794276872,58318.79296875
141.50461359695328,58329.23828125
141.52504766622587,58323.44921875
141.5454818352664,58313.05078125
141.56591600429965,58336.1015625
141.58635027322453,58320.53125
141.60678434203146,58333.38671875
141.62721861071623,58319.04296875
141.6476527792911,58318.0859375
141.6680868478652,58335.87890625
141.68852101631637,58313.58203125
141.70895528465917,58317.14453125
141.72938935288403,58326.2421875
141.74982352098596,58324.09375
141.77025778909592,58321.5859375
141.79069185708795,58329.3359375
141.81112602495705,58329.3359375
141.831560192717,58328.984375
141.85199436036055,58319.00390625
141.87242852799682,58332.12890625
141.89286269552395,58308.46875
141.91329696293542,58320.015625
141.93373103022168,58327.05859375
141.95416519739956,58331.8671875
141.97459926457668,58329.23046875
141.99503353151522,58316.09765625
142.01546769846027,58318.44921875
142.03590176528814,58334.390625
142.0563359321095,58324.5625
142.07677019870607,58333.50390625
142.09720436530188,58309.1328125
142.1176384317805,58333.140625
142.13807269813697,58330.35546875
142.15850686438353,58314.05078125
142.17894093050563,58334.4296875
142.19937509663578,58321.23828125
142.21980936265027,58328.84375
142.24024342854682,58341.22265625
142.26067759432044,58319.8125
142.28111185998569,58310.94140625
142.30154592564213,58331.1875
142.32198009107378,58311.296875
142.34241425650544,58311.44921875
142.36284852181416,58349.1640625
142.38328258701222,58330.86328125
142.40371675221104,58321.74609375
142.42415101717052,58327.4453125
142.44458508213575,58314.31640625
142.46501924698532,58332.296875
142.48545331171772,58328.4375
142.50588757644437,58326.15234375
142.5263217409447,58319.828125
142.54675590543775,58319.98046875
142.5671899697045,58339.19921875
142.58762423397275,58327.88671875
142.60805839824025,58314.72265625
142.62849246226688,58328.74609375
142.6489267261859,58325.73046875
142.66936089009687,58311.70703125
142.68979495389794,58325.33203125
142.71022911758337,58341.25390625
142.73066338115314,58330.74609375
142.7510974447141,58327.10546875
142.77153160805028,58335.2265625
142.79196587137994,58323.734375
142.81239993459894,58324.54296875
142.8328340977023,58324.296875
142.85326826068922,58324.921875
142.87370252355322,58332.109375
142.89413658642297,58327.58984375
142.91457074917707,58327.30078125
142.93500501180824,58333.28125
142.95543907432875,58329.16796875
142.9758732367336,58331.3515625
142.996307299014,58343.2265625
143.0167415613032,58358.6953125
143.0371757233588,58333.11328125
143.05760988540715,58327.05859375
143.07804404734634,58327.9140625
143.09847820928553,58302.4375
143.11891237098462,58355.390625
143.13934653257456,58309.88671875
143.15978069415723,58324.28515625
143.18021485563077,58341.76953125
143.20064891698712,58320.09765625
143.22108307822782,58315.91796875
143.2415173393456,58324.16796875
143.26195150046988,58324.3125
143.28238566147047,58329.4453125
143.3028198222455,58344.453125
143.32325398302055,58334.49609375
143.36412220432976,58325.71484375
143.38455646475632,58325.69921875
143.40499062517483,58345.140625
143.42542468536703,58323.40234375
143.44585894556076,58319.671875
143.4662931056373,58335.06640625
143.4867271655894,58324.4453125
143.50716132543312,58328.296875
143.52759558527032,58324.34765625
143.54802974499762,58322.6484375
143.56846380449133,58327.87109375
143.58889806398656,58328.69140625
143.60933222335734,58323.1171875
143.62976628273464,58348.0703125
143.65020044187986,58320.38671875
143.67063470090216,58331.05078125
143.6910687599302,58318.734375
143.7115029188426,58330.90234375
143.7319370776313,58347.89453125
143.75237123631086,58320.44921875
143.772805394874,58316.046875
143.79323955342988,58327.64453125
143.8136737117602,58331.36328125
143.83410787009052,58330.5703125
143.85454202829715,58319.55078125
143.87497608627746,58319.7890625
143.8954103443757,58317.44921875
143.91584450223309,58327.4609375
143.93627855998056,58311.46875
143.95671281772957,58320.73828125
143.9771469752377,58307.41796875
143.99758103275235,58329.65625
144.01801519015135,58330.84765625
144.0384494474274,58325.41796875
