time,flux
2882.334709312126,17143150.0
2882.33609824274,17142998.0
2882.337487172888,17169912.0
2882.3388761035017,17170732.0
2882.3402650341163,17172616.0
2882.341653964731,17169964.0
2882.3430428953457,17179628.0
2882.3444318259594,17194794.0
2882.345820756574,17186728.0
2882.347209687188,17196028.0
2882.3485986178025,17207104.0
2882.3499875484163,17201794.0
2882.351376479031,17212568.0
2882.3527654096447,17215648.0
2882.3541543402594,17207458.0
2882.355543270873,17212806.0
2882.356932201488,17229246.0
2882.3583211321015,17231218.0
2882.359710063182,17215626.0
2882.3610989937965,17241968.0
2882.362487924411,17247480.0
2882.363876855025,17233556.0
2882.3652657856387,17238654.0
2882.3666547162525,17244492.0
2882.368043646867,17247372.0
2882.3694325779466,17253846.0
2882.3708215085617,17254340.0
2882.372210439177,17251388.0
2882.3735993697906,17256296.0
2882.374988300871,17266612.0
2882.376377231484,17266202.0
2882.3777661620975,17266962.0
2882.379155092712,17269454.0
2882.3805440237925,17276510.0
2882.381932954407,17262266.0
2882.383321885022,17275338.0
2882.3847108161012,17281832.0
2882.386099746716,17287680.0
2882.3874886773297,17281418.0
2882.38887760841,17289064.0
2882.3902665390233,17266450.0
2882.391655470103,17294240.0
2882.393044400718,17295212.0
2882.394433331798,17281182.0
2882.395822262412,17295538.0
2882.3972111930266,17284656.0
2882.398600124106,17276632.0
2882.3999890547207,17314246.0
2882.401377985801,17298602.0
2882.4027669164157,17286210.0
2882.404155847495,17307410.0
2882.4055447785745,17275306.0
2882.4069337091883,17322510.0
2882.4083226402686,17294154.0
2882.4097115708823,17287166.0
2882.411100501963,17303380.0
2882.4124894325782,17294888.0
2882.4138783636577,17308310.0
2882.415267294738,17286054.0
2882.4166562253513,17296754.0
2882.4180451564303,17297322.0
2882.4194340875106,17301378.0
2882.4208230181243,17291102.0
2882.422211949205,17305280.0
2882.423600880286,17291560.0
2882.4249898108997,17302914.0
2882.42637874198,17297780.0
2882.4277676730594,17279946.0
2882.4291566041397,17305630.0
2882.4305455347526,17301338.0
2882.431934465833,17293976.0
2882.4333233969132,17288942.0
2882.434712327993,17296542.0
2882.436101259073,17292790.0
2882.4374901901524,17291116.0
2882.438879120767,17290670.0
2882.4402680518465,17282910.0
2882.441656982927,17290718.0
2882.4430459140062,17283202.0
2882.4444348450866,17288612.0
2882.445823776166,17285992.0
2882.4472127072463,17298480.0
2882.4486016383257,17276538.0
2882.449990569406,17291034.0
2882.4513795004855,17284774.0
2882.4527684311006,17288074.0
2882.4541573621814,17282292.0
2882.455546293261,17288468.0
2882.45693522434,17286128.0
2882.4583241554196,17285820.0
2882.4597130869647,17267908.0
2882.461102018045,17272628.0
2882.4624909491254,17291578.0
2882.4638798802057,17278434.0
2882.465268811286,17268094.0
2882.4666577423654,17286452.0
2882.4680466734458,17284704.0
2882.469435604525,17272814.0
2882.4708245356046,17269242.0
2882.472213466684,17274758.0
2882.4736023977644,17270570.0
2882.4749913293103,17281918.0
2882.4763802603907,17275126.0
2882.47776919147,17260752.0
2882.4791581225504,17281530.0
2882.48054705363,17260154.0
2882.481935985176,17272632.0
2882.4833249162552,17278668.0
2882.4847138473356,17277666.0
2882.486102778415,17273996.0
2882.487491709961,17270882.0
2882.4888806410404,17266492.0
2882.4902695721207,17261166.0
2882.4916585032,17273454.0
2882.4930474347466,17262526.0
2882.4944363658274,17286936.0
2882.4958252973724,17260224.0
2882.497214228452,17268872.0
2882.4986031595313,17274456.0
2882.4999920910764,17266324.0
2882.5013810221567,17269082.0
2882.502769953236,17277606.0
2882.5041588847826,17270180.0
2882.5055478158633,17263436.0
2882.5069367474084,17261602.0
2882.5083256784887,17275388.0
2882.5097146100334,17272968.0
2882.5111035411123,17267552.0
2882.5124924721927,17266456.0
2882.5138814037387,17272504.0
2882.515270334819,17265252.0
2882.516659266365,17282574.0
2882.5180481974444,17255796.0
2882.5194371289904,17273458.0
2882.5208260605355,17268350.0
2882.522214991616,17267568.0
2882.523603923161,17273150.0
2882.524992854241,17265570.0
2882.5263817857863,17272260.0
2882.5277707168666,17278934.0
2882.5291596484117,17273132.0
2882.5305485799577,17268650.0
2882.531937511037,17282160.0
2882.5333264425835,17262328.0
2882.53471537413,17274314.0
2882.536104305209,17283680.0
2882.5374932367536,17271554.0
2882.5388821682996,17262138.0
2882.540271099379,17291032.0
2882.541660030925,17255710.0
2882.54304896247,17263730.0
2882.5444378940165,17290798.0
2882.5458268250973,17275310.0
2882.5472157566423,17272312.0
2882.5486046881883,17286002.0
2882.549993619733,17282938.0
2882.551382550812,17268738.0
2882.552771482358,17278174.0
2882.554160413904,17281964.0
2882.55554934545,17277790.0
2882.556938276996,17281960.0
2882.5583272080753,17277304.0
2882.5597161396213,17281956.0
2882.5611050711664,17281680.0
2882.5624940027124,17274402.0
2882.5638829342574,17286536.0
2882.5652718658034,17286592.0
2882.5666607973485,17269948.0
2882.5680497288945,17291162.0
2882.5694386604396,17284696.0
2882.57082759152,17287704.0
2882.572216523065,17273718.0
2882.573605454611,17280298.0
2882.574994386157,17296836.0
2882.5763833177025,17272188.0
2882.577772249247,17271862.0
2882.579161180793,17289598.0
2882.580550112338,17298670.0
2882.581939043884,17285454.0
2882.5833279754293,17287284.0
2882.5847169069757,17277156.0
2882.586105838522,17281280.0
2882.587494770067,17294224.0
2882.588883701613,17295330.0
2882.5902726336235,17284250.0
2882.591661565168,17282828.0
2882.593050496714,17290396.0
2882.59443942826,17283570.0
2882.595828359806,17281492.0
2882.597217291352,17304130.0
2882.598606222897,17287084.0
2882.599995154443,17283574.0
2882.6013840859882,17300720.0
2882.602773017999,17270822.0
2882.604161949544,17292282.0
2882.60555088109,17271378.0
2882.606939812636,17300670.0
2882.608328744182,17297594.0
2882.6097176761928,17280690.0
2882.6111066077387,17304238.0
2882.612495539284,17289330.0
2882.61388447083,17285428.0
2882.615273402376,17304752.0
2882.616662334387,17285774.0
2882.6180512659316,17300008.0
2882.6194401974776,17293618.0
2882.6208291294884,17301272.0
2882.6222180610343,17279572.0
2882.6236069925794,17302386.0
2882.624995924126,17293616.0
2882.626384856138,17297280.0
2882.627773787683,17297828.0
2882.629162719229,17286584.0
2882.6305516512393,17292356.0
2882.631940582784,17302862.0
2882.6333295147956,17294348.0
2882.6347184463416,17300102.0
2882.6361073778876,17287204.0
2882.6374963098992,17290022.0
2882.6388852414443,17298200.0
2882.640274173456,17316020.0
2882.641663105001,17286042.0
2882.643052036546,17297792.0
2882.644440968557,17311124.0
2882.645829900103,17284984.0
2882.6472188321145,17306794.0
2882.6486077636605,17292570.0
2882.6499966956712,17309566.0
2882.651385627217,17329262.0
2882.652774559228,17284428.0
2882.654163490774,17305866.0
2882.6555524227856,17311108.0
2882.656941354331,17315732.0
2882.6583302863414,17303466.0
2882.6597192178874,17307496.0
2882.661108149898,17308568.0
2882.662497081444,17306460.0
2882.663886013455,17310614.0
2882.6652749450013,17301516.0
2882.6666638770134,17311444.0
2882.668052809024,17310288.0
2882.6694417405693,17301004.0
2882.67083067258,17326620.0
2882.672219604125,17297228.0
2882.6736085361367,17309226.0
2882.6749974681475,17327386.0
2882.676386399694,17309920.0
2882.677775331706,17294406.0
2882.679164263251,17320014.0
2882.6805531952627,17315536.0
2882.6819421272735,17308586.0
2882.6833310588186,17311108.0
2882.6847199908293,17301498.0
2882.686108922841,17310916.0
2882.6874978548526,17315520.0
2882.6888867863986,17339794.0
2882.6902757184093,17322518.0
2882.691664650421,17306030.0
2882.693053581966,17308258.0
2882.6944425139777,17329012.0
2882.6958314459894,17319974.0
2882.6972203780006,17321416.0
2882.698609309545,17317208.0
2882.699998241557,17363594.0
2882.7013871735676,17314038.0
2882.7027761055792,17326026.0
2882.70416503759,17322620.0
2882.7055539691364,17323010.0
2882.7069429011485,17324634.0
2882.7083318331593,17326774.0
2882.70972076517,17324126.0
2882.7111096971807,17344810.0
2882.712498628726,17333524.0
2882.7138875607375,17313440.0
2882.715276492748,17322248.0
2882.7166654247603,17347250.0
2882.7180543567724,17321084.0
2882.719443288783,17328932.0
2882.720832220795,17327326.0
2882.72222115234,17334344.0
2882.7236100843506,17330334.0
2882.7249990163614,17322502.0
2882.726387948373,17331788.0
2882.7277768803847,17324238.0
2882.7291658123963,17335704.0
2882.730554744407,17332522.0
2882.7319436764187,17340120.0
2882.7333326084295,17336358.0
2882.734721540441,17312358.0
2882.736110472452,17328082.0
2882.7374994044635,17343570.0
2882.7388883364742,17330790.0
2882.740277268486,17327254.0
2882.741666200031,17335366.0
2882.7430551325083,17327008.0
2882.744444064519,17322110.0
2882.745832996531,17332934.0
2882.7472219280776,17344340.0
2882.7486108600883,17327850.0
2882.7499997925647,17327162.0
2882.7513887245755,17349416.0
2882.752777656586,17332444.0
2882.754166588598,17345066.0
2882.7555555206086,17309924.0
2882.7569444526207,17345582.0
2882.758333384633,17320762.0
2882.7597223166435,17328746.0
2882.761111248655,17329264.0
2882.762500180666,17329268.0
2882.7638891126767,17319024.0
2882.7652780446874,17317600.0
2882.766666976699,17326278.0
2882.7680559087107,17324658.0
2882.7694448407224,17329364.0
2882.770833773199,17299666.0
2882.7722227052104,17333494.0
2882.773611637221,17331668.0
2882.775000569233,17318490.0
2882.7763895012436,17323440.0
2882.777778433255,17318922.0
2882.779167365266,17328832.0
2882.7805562977433,17313284.0
2882.781945229754,17326388.0
2882.7833341617657,17325640.0
2882.7847230937764,17323078.0
2882.7861120257885,17317138.0
2882.7875009578006,17311862.0
2882.788889890277,17320786.0
2882.7902788222877,17311898.0
2882.7916677542985,17331148.0
2882.7930566863092,17306638.0
2882.794445618321,17310242.0
2882.7958345507973,17314886.0
2882.7972234828094,17306312.0
2882.7986124148215,17327790.0
2882.8000013468322,17286400.0
2882.8013902793095,17326386.0
2882.80277921132,17297988.0
2882.80416814333,17305070.0
2882.8055570753418,17312868.0
2882.806946007819,17298720.0
2882.8083349398307,17331654.0
2882.8097238718424,17283742.0
2882.811112803853,17295170.0
2882.8125017363304,17301224.0
2882.813890668341,17297380.0
2882.815279600353,17303754.0
2882.816668532829,17313280.0
2882.818057464841,17296728.0
2882.8194463968516,17304146.0
2882.820835329329,17287776.0
2882.8222242613397,17308906.0
2882.8236131933513,17299108.0
2882.8250021258277,17289652.0
2882.82639105784,17305098.0
2882.827779989852,17286910.0
2882.8291689223283,17305776.0
2882.830557854339,17301310.0
2882.83194678635,17288346.0
2882.833335718826,17308314.0
2882.834724650838,17301216.0
2882.8361135828486,17286880.0
2882.8375025153264,17293694.0
2882.8388914473385,17310130.0
2882.840280379349,17281446.0
2882.8416693118265,17291080.0
2882.8430582438364,17297758.0
2882.8444471763128,17278568.0
2882.8458361083235,17291496.0
2882.847225040336,17277222.0
2882.8486139728134,17302022.0
2882.850002904825,17291554.0
2882.8513918373014,17283926.0
2882.8527807693126,17279208.0
2882.8541697017895,17276004.0
2882.8555586338002,17281726.0
2882.856947565812,17286808.0
2882.8583364982883,17288466.0
2882.8597254303,17283116.0
2882.8611143627763,17294966.0
2882.862503294788,17258600.0
2882.8638922272644,17270600.0
2882.865281159276,17303028.0
2882.8666700917533,17295190.0
2882.868059023765,17263966.0
2882.8694479562414,17272602.0
2882.870836888252,17278448.0
2882.872225820263,17266902.0
2882.87361475274,17281966.0
2882.875003684751,17277070.0
2882.8763926172282,17274974.0
2882.87778154924,17281924.0
2882.879170481717,17276222.0
2882.880559413729,17275046.0
2882.8819483462053,17270704.0
2882.883337278216,17261652.0
2882.8847262106924,17271350.0
2882.886115142703,17270580.0
2882.887504075181,17264928.0
2882.8888930076587,17268594.0
2882.8902819396694,17268620.0
2882.8916708721467,17265706.0
2882.8930598041575,17271458.0
2882.894448736635,17286040.0
2882.8958376686455,17261352.0
2882.897226601123,17249684.0
2882.8986155331336,17270988.0
2882.900004465611,17247090.0
2882.9013933976216,17267180.0
2882.902782330099,17272250.0
2882.9041712625753,17268484.0
2882.905560194587,17253636.0
2882.9069491270643,17260870.0
2882.908338059076,17263416.0
2882.9097269915524,17261834.0
2882.911115923563,17255318.0
2882.9125048560395,17255110.0
2882.913893788517,17252388.0
2882.9152827205276,17261680.0
2882.9166716530053,17270560.0
2882.9180605850174,17252414.0
2882.919449517494,17254576.0
